date,ask_value,bid_value
2015-03-17,27.13,23.63
2015-03-16,27.12,23.30
2015-03-15,27.16,23.17
2015-03-14,27.16,23.17
2015-03-13,27.20,23.21
2015-03-12,27.72,23.42
2015-03-11,28.44,23.87
2015-03-10,29.80,24.99
2015-03-09,30.37,25.66
2015-03-08,30.39,25.64
2015-03-07,30.37,25.62
2015-03-06,30.48,25.63
2015-03-05,28.43,24.20
2015-03-04,29.15,24.55
2015-03-03,31.57,26.42
2015-03-02,33.71,28.34
2015-03-01,35.98,30.65
2015-02-28,36.05,30.72
2015-02-27,36.38,31.05
2015-02-26,36.22,29.19
2015-02-25,38.21,33.45
2015-02-24,36.51,32.96
2015-02-23,34.18,31.30
2015-02-22,32.42,30.21
2015-02-21,32.39,30.21
2015-02-20,31.86,29.89
2015-02-19,31.17,29.19
2015-02-18,30.51,28.56
2015-02-17,29.77,27.77
2015-02-16,29.66,27.43
2015-02-15,29.62,27.25
2015-02-14,29.63,27.25
2015-02-13,29.58,27.22
2015-02-12,29.37,26.95
2015-02-11,28.97,26.51
2015-02-10,28.71,26.19
2015-02-09,27.75,25.11
2015-02-08,27.48,24.80
2015-02-07,27.48,24.80
2015-02-06,26.40,24.00
2015-02-05,20.63,19.81
2015-02-04,20.10,19.42
2015-02-03,19.84,19.15
2015-02-02,19.70,19.03
2015-02-01,19.62,18.89
2015-01-31,19.58,18.90
2015-01-30,19.57,18.89
2015-01-29,19.52,18.81
2015-01-28,19.49,18.78
2015-01-27,19.33,18.65
2015-01-26,19.33,18.65
2015-01-25,19.73,18.88
2015-01-24,19.70,18.88
2015-01-23,19.74,18.92
2015-01-22,19.80,19.07
2015-01-21,19.85,19.09
2015-01-20,19.86,19.08
2015-01-19,19.82,19.07
2015-01-18,19.88,19.09
2015-01-17,19.88,19.09
2015-01-16,20.08,19.27
2015-01-15,20.08,19.26
2015-01-14,19.89,19.21
2015-01-13,19.89,19.20
2015-01-12,19.79,19.08
2015-01-11,19.79,19.05
2015-01-10,19.78,19.03
2015-01-09,19.78,19.03
2015-01-08,20.01,19.18
2015-01-07,20.30,19.47
2015-01-06,20.30,19.47
2015-01-05,20.36,19.60
2015-01-04,20.42,19.63
2015-01-03,20.42,19.63
2015-01-02,20.42,19.63
2015-01-01,20.42,19.63
2014-12-31,20.40,19.63
2014-12-30,20.37,19.62
2014-12-29,20.42,19.73
2014-12-28,20.48,19.78
2014-12-27,20.46,19.78
2014-12-26,20.44,19.78
2014-12-25,20.40,19.75
2014-12-24,20.47,19.78
2014-12-23,20.56,19.85
2014-12-22,20.59,19.89
2014-12-21,20.66,19.95
2014-12-20,20.65,19.95
2014-12-19,20.67,19.95
2014-12-18,20.95,20.21
2014-12-17,21.00,20.27
2014-12-16,20.81,20.12
2014-12-15,20.66,19.94
2014-12-14,20.63,19.85
2014-12-13,20.62,19.83
2014-12-12,20.61,19.82
2014-12-11,20.43,19.67
2014-12-10,20.28,19.49
2014-12-09,20.10,19.33
2014-12-08,19.90,19.10
2014-12-07,19.95,19.20
2014-12-06,19.94,19.20
2014-12-05,19.93,19.21
2014-12-04,19.83,19.10
2014-12-03,19.83,19.08
2014-12-02,19.81,19.06
2014-12-01,19.74,18.97
2014-11-30,19.74,18.93
2014-11-29,19.73,18.94
2014-11-28,19.72,18.93
2014-11-27,19.71,18.93
2014-11-26,19.68,18.92
2014-11-25,19.66,18.91
2014-11-24,19.81,18.98
2014-11-23,19.92,19.08
2014-11-22,19.91,19.08
2014-11-21,19.84,19.02
2014-11-20,19.90,19.07
2014-11-19,19.93,19.06
2014-11-18,20.06,19.15
2014-11-17,20.13,19.23
2014-11-16,20.16,19.17
2014-11-15,20.14,19.18
2014-11-14,20.15,19.17
2014-11-13,20.30,19.26
2014-11-12,20.44,19.28
2014-11-11,19.72,18.45
2014-11-10,18.86,17.90
2014-11-09,18.37,17.41
2014-11-08,18.34,17.39
2014-11-07,18.28,17.35
2014-11-06,17.80,16.94
2014-11-05,17.29,16.43
2014-11-04,17.21,16.34
2014-11-03,17.21,16.32
2014-11-02,17.31,16.45
2014-11-01,17.29,16.44
2014-10-31,17.31,16.45
2014-10-30,17.32,16.48
2014-10-29,17.38,16.55
2014-10-28,17.41,16.53
2014-10-27,17.39,16.53
2014-10-26,17.45,16.57
2014-10-25,17.40,16.55
2014-10-24,17.40,16.55
2014-10-23,17.33,16.55
2014-10-22,17.32,16.58
2014-10-21,17.33,16.59
2014-10-20,17.31,16.52
2014-10-19,17.36,16.55
2014-10-18,17.34,16.54
2014-10-17,17.34,16.53
2014-10-16,17.33,16.51
2014-10-15,17.23,16.46
2014-10-14,17.31,16.49
2014-10-13,17.28,16.46
2014-10-12,17.35,16.49
2014-10-11,17.32,16.51
2014-10-10,17.30,16.51
2014-10-09,17.30,16.52
2014-10-08,17.22,16.44
2014-10-07,17.24,16.43
2014-10-06,17.24,16.39
2014-10-05,17.37,16.53
2014-10-04,17.35,16.52
2014-10-03,17.34,16.54
2014-10-02,17.36,16.55
2014-10-01,17.37,16.55
2014-09-30,17.42,16.59
2014-09-29,17.40,16.54
2014-09-28,17.47,16.57
2014-09-27,17.45,16.57
2014-09-26,17.44,16.56
2014-09-25,17.69,16.65
2014-09-24,18.82,17.61
2014-09-23,19.30,17.94
2014-09-22,19.04,17.80
2014-09-21,18.77,17.51
2014-09-20,18.77,17.51
2014-09-19,18.72,17.53
2014-09-18,18.65,17.39
2014-09-17,18.51,17.20
2014-09-16,18.41,17.09
2014-09-15,18.31,17.02
2014-09-14,18.13,16.88
2014-09-13,18.13,16.88
2014-09-12,18.10,16.87
2014-09-11,17.92,16.68
2014-09-10,17.93,16.68
2014-09-09,17.84,16.57
2014-09-08,17.86,16.59
2014-09-07,17.69,16.50
2014-09-06,17.69,16.50
2014-09-05,17.70,16.49
2014-09-04,17.57,16.48
2014-09-03,17.63,16.59
2014-09-02,17.80,16.70
2014-09-01,18.22,17.15
2014-08-31,18.56,17.36
2014-08-30,18.56,17.36
2014-08-29,18.56,17.40
2014-08-28,18.61,17.31
2014-08-27,18.94,17.80
2014-08-26,18.46,17.49
2014-08-25,18.30,17.33
2014-08-24,18.30,17.33
2014-08-23,18.31,17.34
2014-08-22,18.27,17.31
2014-08-21,18.09,17.18
2014-08-20,18.01,17.05
2014-08-19,18.07,17.06
2014-08-18,18.07,17.00
2014-08-17,18.02,16.93
2014-08-16,18.02,16.93
2014-08-15,18.03,16.93
2014-08-14,18.19,17.02
2014-08-13,18.54,17.24
2014-08-12,18.01,16.94
2014-08-11,17.51,16.62
2014-08-10,17.13,16.37
2014-08-09,17.13,16.37
2014-08-08,17.25,16.24
2014-08-07,16.98,16.08
2014-08-06,16.92,15.93
2014-08-05,16.98,15.98
2014-08-04,16.92,15.85
2014-08-03,16.93,15.94
2014-08-02,16.78,16.00
2014-08-01,16.78,16.00
2014-07-31,16.71,15.95
2014-07-30,16.68,15.92
2014-07-29,16.64,15.90
2014-07-28,16.46,15.72
2014-07-26,16.35,15.62
2014-07-25,16.35,15.62
2014-07-24,16.28,15.56
2014-07-23,16.28,15.55
2014-07-22,16.32,15.61
2014-07-21,16.31,15.59
2014-07-19,16.32,15.62
2014-07-18,16.32,15.62
2014-07-17,16.33,15.62
2014-07-16,16.37,15.65
2014-07-15,16.46,15.70
2014-07-14,16.41,15.68
2014-07-12,16.43,15.69
2014-07-11,16.43,15.69
2014-07-10,16.48,15.73
2014-07-09,16.41,15.66
2014-07-08,16.46,15.72
2014-07-07,16.51,15.77
2014-07-05,16.54,15.79
2014-07-04,16.55,15.79
2014-07-03,16.59,15.85
2014-07-02,16.60,15.82
2014-07-01,16.56,15.74
2014-06-30,16.59,15.79
2014-06-28,16.59,15.79
2014-06-27,16.59,15.79
2014-06-26,16.63,15.81
2014-06-25,16.59,15.78
2014-06-24,16.57,15.75
2014-06-23,16.59,15.74
2014-06-21,16.57,15.70
2014-06-20,16.57,15.72
2014-06-19,16.60,15.77
2014-06-18,16.50,15.63
2014-06-17,16.48,15.58
2014-06-16,16.41,15.54
2014-06-14,16.36,15.46
2014-06-13,16.34,15.46
2014-06-12,16.26,15.34
2014-06-11,16.33,15.39
2014-06-10,16.48,15.58
2014-06-09,16.56,15.69
2014-06-07,16.56,15.69
2014-06-06,16.56,15.69
2014-06-05,16.58,15.71
2014-06-04,16.59,15.71
2014-06-03,16.54,15.67
2014-06-02,16.44,15.53
2014-05-31,16.44,15.52
2014-05-30,16.44,15.55
2014-05-29,16.49,15.54
2014-05-28,16.56,15.56
